"","OpID","Orig","IN","KE","MW","ZA","ZM","BD","CN","GB","TZ","BF","GN","CD","CM","GH","ID","JP","LV","MX","MY","NG","OM","RW","TC","TH","TR","TT","TW","UG","US","ET","PK","PE","SS","AU","BR","BW","IE","LK","ML","PH","PY","none","BJ","BZ","CL","CO","NP","AF","AT","CA","CW","DE","DK","FR","NO","SE","MG","PS","SN","EG","KH","KZ","MN","AE","BG","CY","EE","FJ","HR","HU","IL","KW","LI","LR","LT","MT","PG","QA","RO","SL","VU","EC","ES","LS","YE","JO","BA","DO","GT","HT","JM","NI","CH","MA","VN","ZW","PL","NE","CG","UA","MZ","BO","GI","SG","UZ","DZ","BT","HK","HN","NA.","SV","SZ","GW","BI","SA","BE","NL","AO","CF","GM","EH","TD","nchars"
"1183",21,21,NA,NA,NA,0.0512820512820513,NA,NA,0.0384615384615385,0.0897435897435897,NA,NA,NA,NA,NA,0.0128205128205128,NA,0.115384615384615,NA,NA,NA,NA,NA,NA,0.0128205128205128,NA,NA,NA,NA,NA,0.0256410256410256,NA,NA,NA,NA,0.115384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128205128205128,0.0256410256410256,0.141025641025641,0.0897435897435897,0.0384615384615385,0.102564102564103,0.0512820512820513,0.0512820512820513,0.0256410256410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210547
"1332",22,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16999
"1380",23,23,NA,0.162162162162162,0.126126126126126,NA,NA,NA,NA,NA,0.189189189189189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0810810810810811,NA,NA,NA,NA,NA,0.117117117117117,NA,0.324324324324324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94790
"1628",24,24,0.226666666666667,0.0133333333333333,NA,NA,NA,0.426666666666667,0.0133333333333333,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0533333333333333,NA,NA,NA,NA,NA,NA,NA,0.0933333333333333,NA,NA,0.0133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63952
"1732",25,25,0.157894736842105,NA,NA,NA,NA,NA,0.0526315789473684,0.0526315789473684,0.0526315789473684,NA,NA,NA,NA,0.105263157894737,NA,NA,NA,0.105263157894737,NA,NA,NA,NA,NA,0.105263157894737,NA,NA,NA,NA,0.0526315789473684,0.105263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157894736842105,0.0526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28536
"1751",26,26,0.392857142857143,NA,0.107142857142857,0.428571428571429,NA,NA,NA,NA,0.0357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38055
"1811",27,27,0.151515151515152,0.0303030303030303,NA,0.121212121212121,NA,0.0303030303030303,0.242424242424242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0606060606060606,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,NA,0.0303030303030303,NA,NA,NA,NA,0.0303030303030303,NA,NA,NA,0.0303030303030303,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0303030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66782
"1846",28,28,0.0392156862745098,NA,NA,0.0196078431372549,NA,NA,0.0392156862745098,0.0784313725490196,NA,NA,NA,NA,NA,NA,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,NA,NA,NA,NA,0.0196078431372549,0.0196078431372549,0.0196078431372549,NA,NA,NA,0.0980392156862745,NA,NA,NA,NA,NA,0.0392156862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0196078431372549,0.0196078431372549,NA,NA,NA,NA,0.0196078431372549,0.0588235294117647,0.0196078431372549,NA,NA,NA,NA,NA,NA,0.0196078431372549,NA,NA,NA,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59229
"1882",29,29,0.217391304347826,0.130434782608696,0.0869565217391304,0.130434782608696,NA,NA,0.173913043478261,NA,0.0869565217391304,NA,NA,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45970
"1907",30,30,0.0764119601328904,0.0863787375415282,NA,0.0465116279069767,0.0166112956810631,0.0498338870431894,NA,0.00664451827242525,0.0398671096345515,NA,NA,NA,NA,0.0564784053156146,0.0996677740863787,NA,NA,NA,0.00996677740863787,0.079734219269103,NA,0.0332225913621262,NA,NA,NA,NA,NA,0.0863787375415282,NA,0.0132890365448505,0.0897009966777409,0.0299003322259136,0.00332225913621262,NA,0.0365448504983389,NA,NA,NA,NA,0.00332225913621262,NA,NA,NA,NA,NA,0.00664451827242525,0.0166112956810631,NA,NA,NA,NA,NA,NA,0.00332225913621262,NA,NA,NA,NA,NA,0.00996677740863787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00332225913621262,NA,0.0564784053156146,0.00332225913621262,0.0299003322259136,0.00664451827242525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214494
